"Town","FIPS","Year","Year Submitted","Town Profile Year","Variable","Measure Type","Value"
"Salisbury","0900566420",2013,2014,2016,"Net Grand List","Number",1168920470
"Salisbury","0900566420",2013,2014,2016,"Top 10 Total Grand List","Number",60221410
"Salisbury","0900566420",2013,2014,2016,"Total Grand List","Number",1172376930
"Scotland","0901567400",2014,2015,2016,"Net Grand List","Number",113142275
"Scotland","0901567400",2014,2015,2016,"Top 10 Total Grand List","Number",6478497
"Scotland","0901567400",2014,2015,2016,"Total Grand List","Number",114235365
"Seymour","0900967610",2014,2015,2016,"Net Grand List","Number",1234045890
"Seymour","0900967610",2014,2015,2016,"Top 10 Total Grand List","Number",61939200
"Seymour","0900967610",2014,2015,2016,"Total Grand List","Number",1256931790
"Sharon","0900567960",2014,2015,2016,"Net Grand List","Number",725187484
"Sharon","0900567960",2014,2015,2016,"Top 10 Total Grand List","Number",69643105
"Sharon","0900567960",2014,2015,2016,"Total Grand List","Number",805944444
"Shelton","0900168170",2013,2014,2016,"Net Grand List","Number",4514471490
"Shelton","0900168170",2013,2014,2016,"Top 10 Total Grand List","Number",491444630
"Shelton","0900168170",2013,2014,2016,"Total Grand List","Number",4569314390
"Sherman","0900168310",2014,2015,2016,"Net Grand List","Number",667551747
"Sherman","0900168310",2014,2015,2016,"Top 10 Total Grand List","Number",27634866
"Sherman","0900168310",2014,2015,2016,"Total Grand List","Number",687877059
"Simsbury","0900368940",2013,2014,2016,"Net Grand List","Number",2251625275
"Simsbury","0900368940",2013,2014,2016,"Top 10 Total Grand List","Number",161625566
"Simsbury","0900368940",2013,2014,2016,"Total Grand List","Number",2567717411
"Somers","0901369220",2014,2015,2016,"Net Grand List","Number",866472730
"Somers","0901369220",2014,2015,2016,"Top 10 Total Grand List","Number",45771540
"Somers","0901369220",2014,2015,2016,"Total Grand List","Number",875373180
"Southbury","0900969640",2014,2015,2016,"Net Grand List","Number",2120359529
"Southbury","0900969640",2014,2015,2016,"Top 10 Total Grand List","Number",206216481
"Southbury","0900969640",2014,2015,2016,"Total Grand List","Number",2127699223
"Southington","0900370550",2014,2014,2016,"Net Grand List","Number",3828716963
"Southington","0900370550",2014,2014,2016,"Top 10 Total Grand List","Number",176098133
"Southington","0900370550",2014,2014,2016,"Total Grand List","Number",3930337896
"South Windsor","0900371390",2014,2015,2016,"Net Grand List","Number",2501567051
"South Windsor","0900371390",2014,2015,2016,"Top 10 Total Grand List","Number",190153090
"South Windsor","0900371390",2014,2015,2016,"Total Grand List","Number",2614293671
"Sprague","0901171670",2013,2014,2016,"Net Grand List","Number",165587070
"Sprague","0901171670",2013,2014,2016,"Top 10 Total Grand List","Number",20942590
"Sprague","0901171670",2013,2014,2016,"Total Grand List","Number",179356040
"Stafford","0901372090",2014,2015,2016,"Net Grand List","Number",769272354
"Stafford","0901372090",2014,2015,2016,"Top 10 Total Grand List","Number",42943030
"Stafford","0901372090",2014,2015,2016,"Total Grand List","Number",814900089
"Stamford","0900173070",2009,2010,2016,"Net Grand List","Number",24089986377
"Stamford","0900173070",2009,2010,2016,"Top 10 Total Grand List","Number",2351741740
"Stamford","0900173070",2009,2010,2016,"Total Grand List","Number",24133122494
"Sterling","0901573420",2014,2015,2016,"Net Grand List","Number",224088830
"Sterling","0901573420",2014,2015,2016,"Top 10 Total Grand List","Number",19504662
"Sterling","0901573420",2014,2015,2016,"Total Grand List","Number",254194348
"Stonington","0901173770",2014,2015,2016,"Net Grand List","Number",2622270316
"Stonington","0901173770",2014,2015,2016,"Top 10 Total Grand List","Number",142221729
"Stonington","0901173770",2014,2015,2016,"Total Grand List","Number",2645521493
"Stratford","0900174190",2014,2015,2016,"Net Grand List","Number",4444196542
"Stratford","0900174190",2014,2015,2016,"Top 10 Total Grand List","Number",446222780
"Stratford","0900174190",2014,2015,2016,"Total Grand List","Number",5118745669
"Suffield","0900374540",2013,2014,2016,"Net Grand List","Number",1343190541
"Suffield","0900374540",2013,2014,2016,"Top 10 Total Grand List","Number",77908690
"Suffield","0900374540",2013,2014,2016,"Total Grand List","Number",1365583521
"Thomaston","0900575730",2014,2015,2016,"Net Grand List","Number",540231844
"Thomaston","0900575730",2014,2015,2016,"Top 10 Total Grand List","Number",0
"Thomaston","0900575730",2014,2015,2016,"Total Grand List","Number",621482616
"Thompson","0901575870",2015,2015,2016,"Net Grand List","Number",-6666
"Thompson","0901575870",2015,2015,2016,"Top 10 Total Grand List","Number",0
"Thompson","0901575870",2015,2015,2016,"Total Grand List","Number",-6666
"Tolland","0901376290",2014,2015,2016,"Net Grand List","Number",1255176745
"Tolland","0901376290",2014,2015,2016,"Top 10 Total Grand List","Number",61072560
"Tolland","0901376290",2014,2015,2016,"Total Grand List","Number",1412389700
"Torrington","0900576570",2014,2015,2016,"Net Grand List","Number",1929178235
"Torrington","0900576570",2014,2015,2016,"Top 10 Total Grand List","Number",153919840
"Torrington","0900576570",2014,2015,2016,"Total Grand List","Number",1996669980
"Trumbull","0900177200",2014,2015,2016,"Net Grand List","Number",4521143159
"Trumbull","0900177200",2014,2015,2016,"Top 10 Total Grand List","Number",512110220
"Trumbull","0900177200",2014,2015,2016,"Total Grand List","Number",4567125109
"Union","0901377830",2013,2014,2016,"Net Grand List","Number",82030253
"Union","0901377830",2013,2014,2016,"Top 10 Total Grand List","Number",7118700
"Union","0901377830",2013,2014,2016,"Total Grand List","Number",82472413
"Vernon","0901378250",2014,2015,2016,"Net Grand List","Number",1768690830
"Vernon","0901378250",2014,2015,2016,"Top 10 Total Grand List","Number",190457999
"Vernon","0901378250",2014,2015,2016,"Total Grand List","Number",1787124288
"Voluntown","0901178600",2012,2012,2016,"Net Grand List","Number",199499086
"Voluntown","0901178600",2012,2012,2016,"Top 10 Total Grand List","Number",8621850
"Voluntown","0901178600",2012,2012,2016,"Total Grand List","Number",201315296
"Wallingford","0900978740",2014,2015,2016,"Net Grand List","Number",4269026488
"Wallingford","0900978740",2014,2015,2016,"Top 10 Total Grand List","Number",320578570
"Wallingford","0900978740",2014,2015,2016,"Total Grand List","Number",4491639494
"Warren","0900579510",2013,2014,2016,"Net Grand List","Number",346550150
"Warren","0900579510",2013,2014,2016,"Top 10 Total Grand List","Number",39611800
"Warren","0900579510",2013,2014,2016,"Total Grand List","Number",347439930
"Washington","0900579720",2014,2015,2016,"Net Grand List","Number",1096164724
"Washington","0900579720",2014,2015,2016,"Top 10 Total Grand List","Number",0
"Washington","0900579720",2014,2015,2016,"Total Grand List","Number",1098373424
"Waterbury","0900980070",2014,2015,2016,"Net Grand List","Number",4062065707
"Waterbury","0900980070",2014,2015,2016,"Top 10 Total Grand List","Number",454904689
"Waterbury","0900980070",2014,2015,2016,"Total Grand List","Number",4342105640
"Waterford","0901180280",2013,2014,2016,"Net Grand List","Number",3197421928
"Waterford","0901180280",2013,2014,2016,"Top 10 Total Grand List","Number",1341513278
"Waterford","0901180280",2013,2014,2016,"Total Grand List","Number",3197688828
"Watertown","0900580490",2009,2010,2016,"Net Grand List","Number",1912860767
"Watertown","0900580490",2009,2010,2016,"Top 10 Total Grand List","Number",93901737
"Watertown","0900580490",2009,2010,2016,"Total Grand List","Number",1963356486
"Westbrook","0900781680",2014,2015,2016,"Net Grand List","Number",1161296753
"Westbrook","0900781680",2014,2015,2016,"Top 10 Total Grand List","Number",115549890
"Westbrook","0900781680",2014,2015,2016,"Total Grand List","Number",1201658546
"West Hartford","0900382590",2014,2015,2016,"Net Grand List","Number",5946170476
"West Hartford","0900382590",2014,2015,2016,"Top 10 Total Grand List","Number",289061100
"West Hartford","0900382590",2014,2015,2016,"Total Grand List","Number",6013765433
"West Haven","0900982870",2014,2015,2016,"Net Grand List","Number",2853950725
"West Haven","0900982870",2014,2015,2016,"Top 10 Total Grand List","Number",105170590
"West Haven","0900982870",2014,2015,2016,"Total Grand List","Number",2901442209
"Weston","0900183430",2012,2013,2016,"Net Grand List","Number",2660640912
"Weston","0900183430",2012,2013,2016,"Top 10 Total Grand List","Number",61087465
"Weston","0900183430",2012,2013,2016,"Total Grand List","Number",2662116322
"Westport","0900183500",2014,2015,2016,"Net Grand List","Number",9804698630
"Westport","0900183500",2014,2015,2016,"Top 10 Total Grand List","Number",373674340
"Westport","0900183500",2014,2015,2016,"Total Grand List","Number",14006712328
"Wethersfield","0900384900",2012,2013,2016,"Net Grand List","Number",2338758240
"Wethersfield","0900384900",2012,2013,2016,"Top 10 Total Grand List","Number",107928280
"Wethersfield","0900384900",2012,2013,2016,"Total Grand List","Number",2353134620
"Willington","0901385950",2014,2015,2016,"Net Grand List","Number",439156890
"Willington","0901385950",2014,2015,2016,"Top 10 Total Grand List","Number",59940069
"Willington","0901385950",2014,2015,2016,"Total Grand List","Number",441365530
"Wilton","0900186370",2014,2015,2016,"Net Grand List","Number",4296785600
"Wilton","0900186370",2014,2015,2016,"Top 10 Total Grand List","Number",433041850
"Wilton","0900186370",2014,2015,2016,"Total Grand List","Number",4352260300
"Winchester","0900586440",2014,2015,2016,"Net Grand List","Number",692625587
"Winchester","0900586440",2014,2015,2016,"Top 10 Total Grand List","Number",0
"Winchester","0900586440",2014,2015,2016,"Total Grand List","Number",716583502
"Windham","0901586790",2013,2014,2016,"Net Grand List","Number",862016955
"Windham","0901586790",2013,2014,2016,"Top 10 Total Grand List","Number",98103540
"Windham","0901586790",2013,2014,2016,"Total Grand List","Number",908621965
"Windsor","0900387000",2014,2015,2016,"Net Grand List","Number",2849933303
"Windsor","0900387000",2014,2015,2016,"Top 10 Total Grand List","Number",498346002
"Windsor","0900387000",2014,2015,2016,"Total Grand List","Number",3279918507
"Windsor Locks","0900387070",2013,2014,2016,"Net Grand List","Number",1207270661
"Windsor Locks","0900387070",2013,2014,2016,"Top 10 Total Grand List","Number",233822584
