"Town","FIPS","Year","Year Submitted","Town Profile Year","Variable","Measure Type","Value"
"Griswold","0901133900",2014,2015,2016,"Top 10 Total Grand List","Number",0
"Griswold","0901133900",2014,2015,2016,"Total Grand List","Number",712031571
"Groton","0901134250",2014,2015,2016,"Net Grand List","Number",3820151399
"Groton","0901134250",2014,2015,2016,"Top 10 Total Grand List","Number",788275995
"Groton","0901134250",2014,2015,2016,"Total Grand List","Number",4026986893
"Guilford","0900934950",2012,2013,2016,"Net Grand List","Number",3494942749
"Guilford","0900934950",2012,2013,2016,"Top 10 Total Grand List","Number",96164696
"Guilford","0900934950",2012,2013,2016,"Total Grand List","Number",3516977919
"Haddam","0900735230",2012,2013,2016,"Net Grand List","Number",901419307
"Haddam","0900735230",2012,2013,2016,"Top 10 Total Grand List","Number",86532680
"Haddam","0900735230",2012,2013,2016,"Total Grand List","Number",904391025
"Hamden","0900935650",2014,2015,2016,"Net Grand List","Number",4075493965
"Hamden","0900935650",2014,2015,2016,"Top 10 Total Grand List","Number",261938020
"Hamden","0900935650",2014,2015,2016,"Total Grand List","Number",4850492588
"Hampton","0901536000",2014,2015,2016,"Net Grand List","Number",125064590
"Hampton","0901536000",2014,2015,2016,"Top 10 Total Grand List","Number",8081370
"Hampton","0901536000",2014,2015,2016,"Total Grand List","Number",127728058
"Hartford","0900337070",2013,2014,2016,"Net Grand List","Number",3535402755
"Hartford","0900337070",2013,2014,2016,"Top 10 Total Grand List","Number",733624930
"Hartford","0900337070",2013,2014,2016,"Total Grand List","Number",3621429969
"Hartland","0900337140",2014,2015,2016,"Net Grand List","Number",196621970
"Hartland","0900337140",2014,2015,2016,"Top 10 Total Grand List","Number",26134919
"Hartland","0900337140",2014,2015,2016,"Total Grand List","Number",197143250
"Harwinton","0900537280",2009,2010,2016,"Net Grand List","Number",556873275
"Harwinton","0900537280",2009,2010,2016,"Top 10 Total Grand List","Number",40667595
"Harwinton","0900537280",2009,2010,2016,"Total Grand List","Number",562107618
"Hebron","0901337910",2014,2015,2016,"Net Grand List","Number",782001450
"Hebron","0901337910",2014,2015,2016,"Top 10 Total Grand List","Number",19938470
"Hebron","0901337910",2014,2015,2016,"Total Grand List","Number",849256660
"Kent","0900540290",2014,2015,2016,"Net Grand List","Number",665620489
"Kent","0900540290",2014,2015,2016,"Top 10 Total Grand List","Number",43035030
"Kent","0900540290",2014,2015,2016,"Total Grand List","Number",799349189
"Killingly","0901540500",2014,2015,2016,"Net Grand List","Number",1216303959
"Killingly","0901540500",2014,2015,2016,"Top 10 Total Grand List","Number",264335538
"Killingly","0901540500",2014,2015,2016,"Total Grand List","Number",1527677336
"Killingworth","0900740710",2014,2015,2016,"Net Grand List","Number",722716487
"Killingworth","0900740710",2014,2015,2016,"Top 10 Total Grand List","Number",0
"Killingworth","0900740710",2014,2015,2016,"Total Grand List","Number",724655760
"Lebanon","0901142390",2014,2015,2016,"Net Grand List","Number",607415900
"Lebanon","0901142390",2014,2015,2016,"Top 10 Total Grand List","Number",61513730
"Lebanon","0901142390",2014,2015,2016,"Total Grand List","Number",616690088
"Ledyard","0901142600",2014,2015,2016,"Net Grand List","Number",1127207978
"Ledyard","0901142600",2014,2015,2016,"Top 10 Total Grand List","Number",81595884
"Ledyard","0901142600",2014,2015,2016,"Total Grand List","Number",1158590893
"Lisbon","0901143230",2010,2010,2016,"Net Grand List","Number",-6666
"Lisbon","0901143230",2010,2010,2016,"Top 10 Total Grand List","Number",73616990
"Lisbon","0901143230",2010,2010,2016,"Total Grand List","Number",-6666
"Litchfield","0900543370",2013,2014,2016,"Net Grand List","Number",1030897219
"Litchfield","0900543370",2013,2014,2016,"Top 10 Total Grand List","Number",82957056
"Litchfield","0900543370",2013,2014,2016,"Total Grand List","Number",1034480809
"Lyme","0901144210",2013,2014,2016,"Net Grand List","Number",513668184
"Lyme","0901144210",2013,2014,2016,"Top 10 Total Grand List","Number",27204881
"Lyme","0901144210",2013,2014,2016,"Total Grand List","Number",514932250
"Madison","0900944560",2014,2015,2016,"Net Grand List","Number",2858542117
"Madison","0900944560",2014,2015,2016,"Top 10 Total Grand List","Number",77027425
"Madison","0900944560",2014,2015,2016,"Total Grand List","Number",3145665777
"Manchester","0900344700",2014,2015,2016,"Net Grand List","Number",3922977420
"Manchester","0900344700",2014,2015,2016,"Top 10 Total Grand List","Number",492931660
"Manchester","0900344700",2014,2015,2016,"Total Grand List","Number",4503210360
"Mansfield","0901344910",2014,2015,2016,"Net Grand List","Number",1026856306
"Mansfield","0901344910",2014,2015,2016,"Top 10 Total Grand List","Number",147660520
"Mansfield","0901344910",2014,2015,2016,"Total Grand List","Number",1466937580
"Marlborough","0900345820",2013,2014,2016,"Net Grand List","Number",572265450
"Marlborough","0900345820",2013,2014,2016,"Top 10 Total Grand List","Number",21020655
"Marlborough","0900345820",2013,2014,2016,"Total Grand List","Number",-6666
"Meriden","0900946520",2014,2015,2016,"Net Grand List","Number",3218470206
"Meriden","0900946520",2014,2015,2016,"Top 10 Total Grand List","Number",276146658
"Meriden","0900946520",2014,2015,2016,"Total Grand List","Number",3448985028
"Middlebury","0900946940",2013,2014,2016,"Net Grand List","Number",928483314
"Middlebury","0900946940",2013,2014,2016,"Top 10 Total Grand List","Number",70285098
"Middlebury","0900946940",2013,2014,2016,"Total Grand List","Number",933500324
"Middlefield","0900747080",2013,2014,2016,"Net Grand List","Number",405401780
"Middlefield","0900747080",2013,2014,2016,"Top 10 Total Grand List","Number",44930080
"Middlefield","0900747080",2013,2014,2016,"Total Grand List","Number",421602630
"Middletown","0900747360",2013,2014,2016,"Net Grand List","Number",3314641715
"Middletown","0900747360",2013,2014,2016,"Top 10 Total Grand List","Number",471261945
"Middletown","0900747360",2013,2014,2016,"Total Grand List","Number",3491254537
"Milford","0900947535",2014,2015,2016,"Net Grand List","Number",6388015939
"Milford","0900947535",2014,2015,2016,"Top 10 Total Grand List","Number",513489894
"Milford","0900947535",2014,2015,2016,"Total Grand List","Number",6554994017
"Monroe","0900148620",2012,2013,2016,"Net Grand List","Number",2310276150
"Monroe","0900148620",2012,2013,2016,"Top 10 Total Grand List","Number",136986213
"Monroe","0900148620",2012,2013,2016,"Total Grand List","Number",2327195097
"Montville","0901148900",2014,2015,2016,"Net Grand List","Number",1255702744
"Montville","0901148900",2014,2015,2016,"Top 10 Total Grand List","Number",116729162
"Montville","0901148900",2014,2015,2016,"Total Grand List","Number",1305824499
"Morris","0900549460",2013,2013,2016,"Net Grand List","Number",-6666
"Morris","0900549460",2013,2013,2016,"Top 10 Total Grand List","Number",-6666
"Morris","0900549460",2013,2013,2016,"Total Grand List","Number",-6666
"Naugatuck","0900949950",2009,2009,2016,"Net Grand List","Number",-6666
"Naugatuck","0900949950",2009,2009,2016,"Top 10 Total Grand List","Number",93651221
"Naugatuck","0900949950",2009,2009,2016,"Total Grand List","Number",-6666
"New Britain","0900350440",2013,2014,2016,"Net Grand List","Number",2443704233
"New Britain","0900350440",2013,2014,2016,"Top 10 Total Grand List","Number",173359634
"New Britain","0900350440",2013,2014,2016,"Total Grand List","Number",2549887651
"New Canaan","0900150580",2013,2013,2016,"Net Grand List","Number",-6666
"New Canaan","0900150580",2013,2013,2016,"Top 10 Total Grand List","Number",-6666
"New Canaan","0900150580",2013,2013,2016,"Total Grand List","Number",-6666
"New Fairfield","0900150860",2009,2010,2016,"Net Grand List","Number",1679534745
"New Fairfield","0900150860",2009,2010,2016,"Top 10 Total Grand List","Number",961697.14
"New Fairfield","0900150860",2009,2010,2016,"Total Grand List","Number",1685807775
"New Hartford","0900551350",2014,2015,2016,"Net Grand List","Number",652909063
"New Hartford","0900551350",2014,2015,2016,"Top 10 Total Grand List","Number",40540230
"New Hartford","0900551350",2014,2015,2016,"Total Grand List","Number",666827
"New Haven","0900952070",2009,2010,2016,"Net Grand List","Number",5447495563
"New Haven","0900952070",2009,2010,2016,"Top 10 Total Grand List","Number",1003972515
"New Haven","0900952070",2009,2010,2016,"Total Grand List","Number",6600398094
"Newington","0900352140",2014,2015,2016,"Net Grand List","Number",2550822204
"Newington","0900352140",2014,2015,2016,"Top 10 Total Grand List","Number",176661012
"Newington","0900352140",2014,2015,2016,"Total Grand List","Number",2640106269
"New London","0901152350",2014,2015,2016,"Net Grand List","Number",1255369371
"New London","0901152350",2014,2015,2016,"Top 10 Total Grand List","Number",156992184
"New London","0901152350",2014,2015,2016,"Total Grand List","Number",2165694231
"New Milford","0900552630",2013,2014,2016,"Net Grand List","Number",2895742140
"New Milford","0900552630",2013,2014,2016,"Top 10 Total Grand List","Number",220015875
"New Milford","0900552630",2013,2014,2016,"Total Grand List","Number",2968667080
"Newtown","0900152980",2013,2014,2016,"Net Grand List","Number",3053042306
"Newtown","0900152980",2013,2014,2016,"Top 10 Total Grand List","Number",119542375
"Newtown","0900152980",2013,2014,2016,"Total Grand List","Number",3366280206
"Norfolk","0900553470",2014,2015,2016,"Net Grand List","Number",292336650
"Norfolk","0900553470",2014,2015,2016,"Top 10 Total Grand List","Number",19676230
"Norfolk","0900553470",2014,2015,2016,"Total Grand List","Number",293732940
"North Branford","0900953890",2014,2014,2016,"Net Grand List","Number",1257094900
"North Branford","0900953890",2014,2014,2016,"Top 10 Total Grand List","Number",178137363
"North Branford","0900953890",2014,2014,2016,"Total Grand List","Number",1279281720
"North Canaan","0900554030",2009,2010,2016,"Net Grand List","Number",344896380
"North Canaan","0900554030",2009,2010,2016,"Top 10 Total Grand List","Number",57452120
"North Canaan","0900554030",2009,2010,2016,"Total Grand List","Number",373967350
"North Haven","0900954870",2014,2015,2016,"Net Grand List","Number",2810958951
"North Haven","0900954870",2014,2015,2016,"Top 10 Total Grand List","Number",198349497
"North Haven","0900954870",2014,2015,2016,"Total Grand List","Number",3215155147
"North Stonington","0901155500",2009,2010,2016,"Net Grand List","Number",620469730
"North Stonington","0901155500",2009,2010,2016,"Top 10 Total Grand List","Number",67793190
"North Stonington","0901155500",2009,2010,2016,"Total Grand List","Number",659361189
"Norwalk","0900156060",2014,2015,2016,"Net Grand List","Number",11902540386
"Norwalk","0900156060",2014,2015,2016,"Top 10 Total Grand List","Number",1006630346
"Norwalk","0900156060",2014,2015,2016,"Total Grand List","Number",11972380282
"Norwich","0901156270",2014,2015,2016,"Net Grand List","Number",2423927020
"Norwich","0901156270",2014,2015,2016,"Top 10 Total Grand List","Number",142724020
"Norwich","0901156270",2014,2015,2016,"Total Grand List","Number",2457677290
"Old Lyme","0901157040",2013,2014,2016,"Net Grand List","Number",1614163861
"Old Lyme","0901157040",2013,2014,2016,"Top 10 Total Grand List","Number",57095890
"Old Lyme","0901157040",2013,2014,2016,"Total Grand List","Number",1619013491
"Old Saybrook","0900757320",2014,2015,2016,"Net Grand List","Number",2222504988
"Old Saybrook","0900757320",2014,2015,2016,"Top 10 Total Grand List","Number",0
"Old Saybrook","0900757320",2014,2015,2016,"Total Grand List","Number",2236850948
"Orange","0900957600",2009,2010,2016,"Net Grand List","Number",1755214373
"Orange","0900957600",2009,2010,2016,"Top 10 Total Grand List","Number",158987000
"Orange","0900957600",2009,2010,2016,"Total Grand List","Number",2190164425
"Oxford","0900958300",2014,2015,2016,"Net Grand List","Number",1442585447
"Oxford","0900958300",2014,2015,2016,"Top 10 Total Grand List","Number",82631360
"Oxford","0900958300",2014,2015,2016,"Total Grand List","Number",1458186407
"Plainfield","0901559980",2014,2015,2016,"Net Grand List","Number",910620960
"Plainfield","0901559980",2014,2015,2016,"Top 10 Total Grand List","Number",169300640
"Plainfield","0901559980",2014,2015,2016,"Total Grand List","Number",973794870
"Plainville","0900360120",2009,2015,2016,"Net Grand List","Number",1390764460
"Plainville","0900360120",2009,2015,2016,"Top 10 Total Grand List","Number",140869640
"Plainville","0900360120",2009,2015,2016,"Total Grand List","Number",1428960510
"Plymouth","0900560750",2013,2014,2016,"Net Grand List","Number",761188614
"Plymouth","0900560750",2013,2014,2016,"Top 10 Total Grand List","Number",27879760
"Plymouth","0900560750",2013,2014,2016,"Total Grand List","Number",819301844
"Pomfret","0901561030",2013,2014,2016,"Net Grand List","Number",360292991
"Pomfret","0901561030",2013,2014,2016,"Top 10 Total Grand List","Number",21190060
"Pomfret","0901561030",2013,2014,2016,"Total Grand List","Number",366276763
"Portland","0900761800",2013,2014,2016,"Net Grand List","Number",802729670
"Portland","0900761800",2013,2014,2016,"Top 10 Total Grand List","Number",36648620
"Portland","0900761800",2013,2014,2016,"Total Grand List","Number",810364905
"Preston","0901162150",2014,2015,2016,"Net Grand List","Number",394079849
"Preston","0901162150",2014,2015,2016,"Top 10 Total Grand List","Number",34129680
"Preston","0901162150",2014,2015,2016,"Total Grand List","Number",493163131
"Prospect","0900962290",2014,2015,2016,"Net Grand List","Number",823909431
"Prospect","0900962290",2014,2015,2016,"Top 10 Total Grand List","Number",42631770
"Prospect","0900962290",2014,2015,2016,"Total Grand List","Number",865543060
"Putnam","0901562710",2014,2015,2016,"Net Grand List","Number",612367518
"Putnam","0901562710",2014,2015,2016,"Top 10 Total Grand List","Number",86159140
"Putnam","0901562710",2014,2015,2016,"Total Grand List","Number",639624158
"Redding","0900163480",2014,2015,2016,"Net Grand List","Number",1631649246
"Redding","0900163480",2014,2015,2016,"Top 10 Total Grand List","Number",173523731
"Redding","0900163480",2014,2015,2016,"Total Grand List","Number",1667478388
"Ridgefield","0900163970",2014,2015,2016,"Net Grand List","Number",4711745970
"Ridgefield","0900163970",2014,2015,2016,"Top 10 Total Grand List","Number",339965033
"Ridgefield","0900163970",2014,2015,2016,"Total Grand List","Number",4849726656
"Rocky Hill","0900365370",2014,2015,2016,"Net Grand List","Number",2019940470
"Rocky Hill","0900365370",2014,2015,2016,"Top 10 Total Grand List","Number",187171530
"Rocky Hill","0900365370",2014,2015,2016,"Total Grand List","Number",2268565320
"Roxbury","0900565930",2013,2014,2016,"Net Grand List","Number",694544900
"Roxbury","0900565930",2013,2014,2016,"Top 10 Total Grand List","Number",44705260
"Roxbury","0900565930",2013,2014,2016,"Total Grand List","Number",695391800
"Salem","0901166210",2014,2015,2016,"Net Grand List","Number",366726656
"Salem","0901166210",2014,2015,2016,"Top 10 Total Grand List","Number",21604130
"Salem","0901166210",2014,2015,2016,"Total Grand List","Number",369587117
