"Town","FIPS","Year","Variable","Measure Type","Value"
"Andover","0901301080",2009,"Net Grand List","Number",-6666
"Andover","0901301080",2009,"Top 10 Total Grand List","Number",-6666
"Andover","0901301080",2009,"Total Grand List","Number",-6666
"Ansonia","0900901220",2015,"Net Grand List","Number",-6666
"Ansonia","0900901220",2015,"Top 10 Total Grand List","Number",63546715
"Ansonia","0900901220",2015,"Total Grand List","Number",-6666
"Ashford","0901501430",2016,"Net Grand List","Number",297213786
"Ashford","0901501430",2016,"Top 10 Total Grand List","Number",18323126
"Ashford","0901501430",2016,"Total Grand List","Number",338012326
"Avon","0900302060",2016,"Net Grand List","Number",2611868210
"Avon","0900302060",2016,"Top 10 Total Grand List","Number",124744610
"Avon","0900302060",2016,"Total Grand List","Number",2643403860
"Barkhamsted","0900502760",2016,"Net Grand List","Number",347305740
"Barkhamsted","0900502760",2016,"Top 10 Total Grand List","Number",48061170
"Barkhamsted","0900502760",2016,"Total Grand List","Number",353419590
"Beacon Falls","0900903250",2016,"Net Grand List","Number",464422191
"Beacon Falls","0900903250",2016,"Top 10 Total Grand List","Number",0
"Beacon Falls","0900903250",2016,"Total Grand List","Number",473540987
"Berlin","0900304300",2009,"Net Grand List","Number",-6666
"Berlin","0900304300",2009,"Top 10 Total Grand List","Number",-6666
"Berlin","0900304300",2009,"Total Grand List","Number",-6666
"Bethany","0900904580",2015,"Net Grand List","Number",553053288
"Bethany","0900904580",2015,"Top 10 Total Grand List","Number",37033989
"Bethany","0900904580",2015,"Total Grand List","Number",596757147
"Bethel","0900104720",2016,"Net Grand List","Number",1943534080
"Bethel","0900104720",2016,"Top 10 Total Grand List","Number",217476880
"Bethel","0900104720",2016,"Total Grand List","Number",1970716200
"Bethlehem","0900504930",2016,"Net Grand List","Number",374076301
"Bethlehem","0900504930",2016,"Top 10 Total Grand List","Number",15508440
"Bethlehem","0900504930",2016,"Total Grand List","Number",377710814
"Bloomfield","0900305910",2014,"Net Grand List","Number",2034013740
"Bloomfield","0900305910",2014,"Top 10 Total Grand List","Number",405730410
"Bloomfield","0900305910",2014,"Total Grand List","Number",2155160790
"Bolton","0901306260",2015,"Net Grand List","Number",429848968
"Bolton","0901306260",2015,"Top 10 Total Grand List","Number",1332379
"Bolton","0901306260",2015,"Total Grand List","Number",434870028
"Bozrah","0901106820",2016,"Net Grand List","Number",222525091
"Bozrah","0901106820",2016,"Top 10 Total Grand List","Number",28087750
"Bozrah","0901106820",2016,"Total Grand List","Number",236236791
"Branford","0900907310",2014,"Net Grand List","Number",348568401
"Branford","0900907310",2014,"Top 10 Total Grand List","Number",174923250
"Branford","0900907310",2014,"Total Grand List","Number",3517174206
"Bridgeport","0900108070",2013,"Net Grand List","Number",-6666
"Bridgeport","0900108070",2013,"Top 10 Total Grand List","Number",-6666
"Bridgeport","0900108070",2013,"Total Grand List","Number",-6666
"Bridgewater","0900508210",2016,"Net Grand List","Number",368053801
"Bridgewater","0900508210",2016,"Top 10 Total Grand List","Number",29894340
"Bridgewater","0900508210",2016,"Total Grand List","Number",407303011
"Bristol","0900308490",2016,"Net Grand List","Number",3911459729
"Bristol","0900308490",2016,"Top 10 Total Grand List","Number",471843661
"Bristol","0900308490",2016,"Total Grand List","Number",4204366433
"Brookfield","0900108980",2016,"Net Grand List","Number",2234572679
"Brookfield","0900108980",2016,"Top 10 Total Grand List","Number",160821880
"Brookfield","0900108980",2016,"Total Grand List","Number",2378732639
"Brooklyn","0901509190",2016,"Net Grand List","Number",549080945
"Brooklyn","0901509190",2016,"Top 10 Total Grand List","Number",66485560
"Brooklyn","0901509190",2016,"Total Grand List","Number",554580323
"Burlington","0900310100",2015,"Net Grand List","Number",916684555
"Burlington","0900310100",2015,"Top 10 Total Grand List","Number",43543051
"Burlington","0900310100",2015,"Total Grand List","Number",918957275
"Canaan","0900510940",2016,"Net Grand List","Number",170797000
"Canaan","0900510940",2016,"Top 10 Total Grand List","Number",28518080
"Canaan","0900510940",2016,"Total Grand List","Number",-6666
"Canterbury","0901512130",2015,"Net Grand List","Number",359148542
"Canterbury","0901512130",2015,"Top 10 Total Grand List","Number",37211562
"Canterbury","0901512130",2015,"Total Grand List","Number",364859132
"Canton","0900312270",2014,"Net Grand List","Number",1100809523
"Canton","0900312270",2014,"Top 10 Total Grand List","Number",84167940
"Canton","0900312270",2014,"Total Grand List","Number",1103048233
"Chaplin","0901513810",2016,"Net Grand List","Number",188671260
"Chaplin","0901513810",2016,"Top 10 Total Grand List","Number",51425480
"Chaplin","0901513810",2016,"Total Grand List","Number",189754940
"Cheshire","0900914160",2016,"Net Grand List","Number",2763740629
"Cheshire","0900914160",2016,"Top 10 Total Grand List","Number",200076745
"Cheshire","0900914160",2016,"Total Grand List","Number",2836632816
"Chester","0900714300",2016,"Net Grand List","Number",440262080
"Chester","0900714300",2016,"Top 10 Total Grand List","Number",43194070
"Chester","0900714300",2016,"Total Grand List","Number",453512896
"Clinton","0900715350",2013,"Net Grand List","Number",-6666
"Clinton","0900715350",2013,"Top 10 Total Grand List","Number",-6666
"Clinton","0900715350",2013,"Total Grand List","Number",-6666
"Colchester","0901115910",2009,"Net Grand List","Number",-6666
"Colchester","0901115910",2009,"Top 10 Total Grand List","Number",-6666
